track_id,artist_id,audio_path,text,split,y_genre,y_tags,y_valence,y_arousal,duration_s
lmd_38_special_caught_up_in_you,38_special,data/raw/lmd_clean/.38 Special/Caught Up In You.mid,Caught Up In You by .38 Special,validation_only,-1,[],,,
lmd_38_special_fantasy_girl,38_special,data/raw/lmd_clean/.38 Special/Fantasy Girl.mid,Fantasy Girl by .38 Special,validation_only,-1,[],,,
lmd_10_000_maniacs_a_campfire_song,10_000_maniacs,"data/raw/lmd_clean/10,000 Maniacs\A Campfire Song.mid","A Campfire Song by 10,000 Maniacs",validation_only,-1,[],,,
lmd_101_strings_theme_from_the_godfather,101_strings,data/raw/lmd_clean/101 Strings/Theme From The Godfather.mid,Theme From The Godfather by 101 Strings,validation_only,-1,[],,,
lmd_10cc_dreadlock_holiday_1,10cc,data/raw/lmd_clean/10cc/Dreadlock Holiday.1.mid,Dreadlock Holiday.1 by 10cc,validation_only,-1,[],,,
lmd_10cc_dreadlock_holiday_2,10cc,data/raw/lmd_clean/10cc/Dreadlock Holiday.2.mid,Dreadlock Holiday.2 by 10cc,validation_only,-1,[],,,
lmd_10cc_dreadlock_holiday_3,10cc,data/raw/lmd_clean/10cc/Dreadlock Holiday.3.mid,Dreadlock Holiday.3 by 10cc,validation_only,-1,[],,,
lmd_10cc_dreadlock_holiday_4,10cc,data/raw/lmd_clean/10cc/Dreadlock Holiday.4.mid,Dreadlock Holiday.4 by 10cc,validation_only,-1,[],,,
lmd_10cc_dreadlock_holiday,10cc,data/raw/lmd_clean/10cc/Dreadlock Holiday.mid,Dreadlock Holiday by 10cc,validation_only,-1,[],,,
lmd_10cc_i_m_not_in_love_1,10cc,data/raw/lmd_clean/10cc/I'm Not In Love.1.mid,I'm Not In Love.1 by 10cc,validation_only,-1,[],,,
lmd_10cc_i_m_not_in_love_2,10cc,data/raw/lmd_clean/10cc/I'm Not In Love.2.mid,I'm Not In Love.2 by 10cc,validation_only,-1,[],,,
lmd_10cc_i_m_not_in_love_3,10cc,data/raw/lmd_clean/10cc/I'm Not In Love.3.mid,I'm Not In Love.3 by 10cc,validation_only,-1,[],,,
lmd_10cc_i_m_not_in_love,10cc,data/raw/lmd_clean/10cc/I'm Not In Love.mid,I'm Not In Love by 10cc,validation_only,-1,[],,,
