track_id,artist_id,audio_path,text,split,y_genre,y_tags,y_valence,y_arousal,duration_s
mtat_2,american_bach_soloists,data/raw/mtat/audio/f/american_bach_soloists-j_s__bach_solo_cantatas-01-bwv54__i_aria-30-59.mp3,BWV54 - I Aria. J.S. Bach Solo Cantatas. American Bach Soloists,test,-1,"[""classical"", ""strings"", ""violin"", ""opera""]",,,29.0
mtat_6,american_bach_soloists,data/raw/mtat/audio/f/american_bach_soloists-j_s__bach_solo_cantatas-01-bwv54__i_aria-146-175.mp3,BWV54 - I Aria. J.S. Bach Solo Cantatas. American Bach Soloists,test,-1,"[""classical"", ""strings"", ""violin"", ""opera"", ""baroque""]",,,29.0
mtat_10,american_bach_soloists,data/raw/mtat/audio/f/american_bach_soloists-j_s__bach_solo_cantatas-01-bwv54__i_aria-262-291.mp3,BWV54 - I Aria. J.S. Bach Solo Cantatas. American Bach Soloists,test,-1,"[""classical"", ""opera""]",,,29.0
mtat_11,american_bach_soloists,data/raw/mtat/audio/f/american_bach_soloists-j_s__bach_solo_cantatas-01-bwv54__i_aria-291-320.mp3,BWV54 - I Aria. J.S. Bach Solo Cantatas. American Bach Soloists,test,-1,"[""opera"", ""quiet""]",,,29.0
mtat_12,american_bach_soloists,data/raw/mtat/audio/f/american_bach_soloists-j_s__bach_solo_cantatas-01-bwv54__i_aria-320-349.mp3,BWV54 - I Aria. J.S. Bach Solo Cantatas. American Bach Soloists,test,-1,"[""classical"", ""strings"", ""violin""]",,,29.0
mtat_14,lvx_nova,data/raw/mtat/audio/c/lvx_nova-lvx_nova-01-contimune-30-59.mp3,Contimune. LVX Nova. LVX Nova,val,-1,"[""techno""]",,,29.0
mtat_21,lvx_nova,data/raw/mtat/audio/c/lvx_nova-lvx_nova-01-contimune-233-262.mp3,Contimune. LVX Nova. LVX Nova,val,-1,"[""electronic"", ""rock"", ""fast""]",,,29.0
mtat_23,lvx_nova,data/raw/mtat/audio/c/lvx_nova-lvx_nova-01-contimune-291-320.mp3,Contimune. LVX Nova. LVX Nova,val,-1,"[""fast""]",,,29.0
mtat_29,american_bach_soloists,data/raw/mtat/audio/0/american_bach_soloists-j_s__bach__cantatas_volume_v-01-gleichwie_der_regen_und_schnee_vom_himmel_fallt_bwv_18_i_sinfonia-117-146.mp3,Gleichwie der Regen und Schnee vom Himmel fallt BWV 18_ I Sinfonia. J.S. Bach - Cantatas Volume V. American Bach Soloists,train,-1,"[""classical"", ""violin""]",,,29.0
mtat_32,steven_devine,data/raw/mtat/audio/e/steven_devine-portrait_of_an_english_harpsichord-01-lesson_1_in_g_major_prelude_james_nares-0-29.mp3,Lesson 1 in G Major_ Prelude (James Nares). Portrait of an English Harpsichord. Steven Devine,test,-1,"[""guitar""]",,,29.0
mtat_33,steven_devine,data/raw/mtat/audio/e/steven_devine-portrait_of_an_english_harpsichord-01-lesson_1_in_g_major_prelude_james_nares-30-59.mp3,Lesson 1 in G Major_ Prelude (James Nares). Portrait of an English Harpsichord. Steven Devine,test,-1,"[""classical"", ""fast"", ""harpsichord"", ""loud""]",,,29.0
mtat_37,the_headroom_project,data/raw/mtat/audio/f/the_headroom_project-jetuton_andawai-01-linda_morena-59-88.mp3,Linda Morena. Jetuton Andawai. The Headroom Project,test,-1,"[""vocal"", ""female vocal"", ""foreign""]",,,29.0
mtat_38,the_headroom_project,data/raw/mtat/audio/f/the_headroom_project-jetuton_andawai-01-linda_morena-88-117.mp3,Linda Morena. Jetuton Andawai. The Headroom Project,test,-1,"[""female vocal"", ""pop"", ""foreign""]",,,29.0
mtat_39,american_bach_soloists,data/raw/mtat/audio/9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-0-29.mp3,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,train,-1,"[""slow""]",,,29.0
