ytid,start_s,end_s,is_audioset_eval,path,status,duration_s
-0Gj8-vB1q4,30,40,True,data/raw/musiccaps/audio/-0Gj8-vB1q4_30_40.mp3,ok,10.0
-0SdAVK79lg,30,40,False,data/raw/musiccaps/audio/-0SdAVK79lg_30_40.mp3,ok,10.0
-0vPFx-wRRI,30,40,True,data/raw/musiccaps/audio/-0vPFx-wRRI_30_40.mp3,ok,10.0
-0xzrMun0Rs,30,40,True,data/raw/musiccaps/audio/-0xzrMun0Rs_30_40.mp3,ok,10.0
-1LrH01Ei1w,30,40,False,data/raw/musiccaps/audio/-1LrH01Ei1w_30_40.mp3,corrupt,
-1OlgJWehn8,30,40,True,data/raw/musiccaps/audio/-1OlgJWehn8_30_40.mp3,corrupt,
-1UWSisR2zo,30,40,True,data/raw/musiccaps/audio/-1UWSisR2zo_30_40.mp3,ok,10.0
-3Kv4fdm7Uk,30,40,True,data/raw/musiccaps/audio/-3Kv4fdm7Uk_30_40.mp3,corrupt,
-4NLarMj4xU,30,40,False,data/raw/musiccaps/audio/-4NLarMj4xU_30_40.mp3,ok,10.0
-4SYC2YgzL8,30,40,True,data/raw/musiccaps/audio/-4SYC2YgzL8_30_40.mp3,corrupt,
-5FoeegAgvU,230,240,True,data/raw/musiccaps/audio/-5FoeegAgvU_230_240.mp3,ok,10.0
-5f6hjZf9Yw,30,40,False,data/raw/musiccaps/audio/-5f6hjZf9Yw_30_40.mp3,ok,10.0
-5xOcMJpTUk,70,80,False,data/raw/musiccaps/audio/-5xOcMJpTUk_70_80.mp3,ok,10.0
-6HBGg1cAI0,30,40,True,data/raw/musiccaps/audio/-6HBGg1cAI0_30_40.mp3,ok,10.0
-6QGvxvaTkI,280,290,False,data/raw/musiccaps/audio/-6QGvxvaTkI_280_290.mp3,ok,10.0
-6pcgdLfb_A,110,120,False,data/raw/musiccaps/audio/-6pcgdLfb_A_110_120.mp3,ok,10.0
-7B9tPuIP-w,450,460,True,data/raw/musiccaps/audio/-7B9tPuIP-w_450_460.mp3,ok,10.0
-7wUQP6G5EQ,30,40,False,data/raw/musiccaps/audio/-7wUQP6G5EQ_30_40.mp3,ok,10.0
-88me9bBzrk,30,40,True,data/raw/musiccaps/audio/-88me9bBzrk_30_40.mp3,ok,10.0
-8C-gydUbR8,30,40,True,data/raw/musiccaps/audio/-8C-gydUbR8_30_40.mp3,ok,10.0
-8cgbhIR_pw,30,40,True,data/raw/musiccaps/audio/-8cgbhIR_pw_30_40.mp3,ok,10.0
-BHPu-dPmWQ,30,40,True,data/raw/musiccaps/audio/-BHPu-dPmWQ_30_40.mp3,ok,10.0
-BIMKnb3tlo,410,420,False,data/raw/musiccaps/audio/-BIMKnb3tlo_410_420.mp3,ok,10.0
-Bu7YaslRW0,30,40,True,data/raw/musiccaps/audio/-Bu7YaslRW0_30_40.mp3,corrupt,
-ByoSbgzr4M,0,10,True,data/raw/musiccaps/audio/-ByoSbgzr4M_0_10.mp3,ok,10.0
-CUp_Tmg2Y0,30,40,False,data/raw/musiccaps/audio/-CUp_Tmg2Y0_30_40.mp3,ok,10.0
-DeAdhYKbGE,290,300,False,data/raw/musiccaps/audio/-DeAdhYKbGE_290_300.mp3,ok,10.0
-Dtir74TiUM,40,50,False,data/raw/musiccaps/audio/-Dtir74TiUM_40_50.mp3,corrupt,
-EVRXQpt1-8,50,60,True,data/raw/musiccaps/audio/-EVRXQpt1-8_50_60.mp3,ok,10.0
-FEPOSP7ay0,260,270,False,data/raw/musiccaps/audio/-FEPOSP7ay0_260_270.mp3,ok,10.0
-FFx68qSAuY,190,200,False,data/raw/musiccaps/audio/-FFx68qSAuY_190_200.mp3,ok,10.0
-FlvaZQOr2I,90,100,False,data/raw/musiccaps/audio/-FlvaZQOr2I_90_100.mp3,ok,10.0
-Gf4Ihv1zwc,50,60,True,data/raw/musiccaps/audio/-Gf4Ihv1zwc_50_60.mp3,ok,10.0
-IZbvEO9wzU,30,40,True,data/raw/musiccaps/audio/-IZbvEO9wzU_30_40.mp3,corrupt,
-JVWfFPBl84,330,340,False,data/raw/musiccaps/audio/-JVWfFPBl84_330_340.mp3,corrupt,
-JvB5AL59fM,30,40,True,data/raw/musiccaps/audio/-JvB5AL59fM_30_40.mp3,ok,10.0
-M-6VinyMiY,30,40,False,data/raw/musiccaps/audio/-M-6VinyMiY_30_40.mp3,ok,10.0
-M6K3QoHh40,30,40,True,data/raw/musiccaps/audio/-M6K3QoHh40_30_40.mp3,corrupt,
-NmjCyqIavI,30,40,False,data/raw/musiccaps/audio/-NmjCyqIavI_30_40.mp3,corrupt,
-O9mnfC61Ac,0,10,False,data/raw/musiccaps/audio/-O9mnfC61Ac_0_10.mp3,ok,10.0
-OAyRsvFGgc,30,40,True,data/raw/musiccaps/audio/-OAyRsvFGgc_30_40.mp3,ok,10.0
-OUIEnuNd1I,30,40,True,data/raw/musiccaps/audio/-OUIEnuNd1I_30_40.mp3,corrupt,
-Q9MTRXS4bE,30,40,True,data/raw/musiccaps/audio/-Q9MTRXS4bE_30_40.mp3,corrupt,
-QuWdnmn-kM,30,40,True,data/raw/musiccaps/audio/-QuWdnmn-kM_30_40.mp3,ok,10.0
-R0267o4lLk,60,70,False,data/raw/musiccaps/audio/-R0267o4lLk_60_70.mp3,ok,10.0
-RYtUAsNhF0,30,40,True,data/raw/musiccaps/audio/-RYtUAsNhF0_30_40.mp3,corrupt,
-SD43H5B5hE,520,530,True,data/raw/musiccaps/audio/-SD43H5B5hE_520_530.mp3,ok,10.0
-SWaCArvQug,21,31,True,data/raw/musiccaps/audio/-SWaCArvQug_21_31.mp3,ok,9.912979166666666
-T4GeTHKtJQ,30,40,False,data/raw/musiccaps/audio/-T4GeTHKtJQ_30_40.mp3,ok,10.0
-U16iKiXGuY,30,40,True,data/raw/musiccaps/audio/-U16iKiXGuY_30_40.mp3,ok,10.0
-Umconw-CRE,30,40,True,data/raw/musiccaps/audio/-Umconw-CRE_30_40.mp3,corrupt,
-UuEBhule84,350,360,False,data/raw/musiccaps/audio/-UuEBhule84_350_360.mp3,ok,10.0
-VI2IRq17rs,360,370,False,data/raw/musiccaps/audio/-VI2IRq17rs_360_370.mp3,ok,10.0
-VclCul6FrI,80,90,False,data/raw/musiccaps/audio/-VclCul6FrI_80_90.mp3,corrupt,
-Vo4CAMX26U,30,40,True,data/raw/musiccaps/audio/-Vo4CAMX26U_30_40.mp3,ok,10.0
-W5c6CeUMPE,40,50,False,data/raw/musiccaps/audio/-W5c6CeUMPE_40_50.mp3,ok,10.0
-WvVG0wHcTc,310,320,True,data/raw/musiccaps/audio/-WvVG0wHcTc_310_320.mp3,ok,10.0
-XN0NtrnfMY,30,40,False,data/raw/musiccaps/audio/-XN0NtrnfMY_30_40.mp3,ok,10.0
-XkbErI_7EU,50,60,False,data/raw/musiccaps/audio/-XkbErI_7EU_50_60.mp3,ok,10.0
-YATTKBtmRA,190,200,False,data/raw/musiccaps/audio/-YATTKBtmRA_190_200.mp3,ok,10.0
-YIT4HBM__g,30,40,True,data/raw/musiccaps/audio/-YIT4HBM__g_30_40.mp3,corrupt,
-ZHpNr_KRXU,30,40,False,data/raw/musiccaps/audio/-ZHpNr_KRXU_30_40.mp3,ok,10.0
-_6RxZyi30Q,70,80,False,data/raw/musiccaps/audio/-_6RxZyi30Q_70_80.mp3,corrupt,
-_OzT7Xyvok,30,40,False,data/raw/musiccaps/audio/-_OzT7Xyvok_30_40.mp3,ok,10.0
-bgHkxwoliw,30,40,True,data/raw/musiccaps/audio/-bgHkxwoliw_30_40.mp3,ok,10.0
-cLzki-B06o,30,40,False,data/raw/musiccaps/audio/-cLzki-B06o_30_40.mp3,ok,10.0
-cQ-jUTEgck,30,40,False,data/raw/musiccaps/audio/-cQ-jUTEgck_30_40.mp3,ok,10.0
-dVgUSrR8g4,30,40,True,data/raw/musiccaps/audio/-dVgUSrR8g4_30_40.mp3,ok,10.0
-e4wXAy1iVo,0,10,True,data/raw/musiccaps/audio/-e4wXAy1iVo_0_10.mp3,ok,9.993
-eDAoheZrY8,30,40,True,data/raw/musiccaps/audio/-eDAoheZrY8_30_40.mp3,ok,10.0
-f1DNyngKVY,30,40,True,data/raw/musiccaps/audio/-f1DNyngKVY_30_40.mp3,ok,10.0
-f6s6kQEHFY,0,10,True,data/raw/musiccaps/audio/-f6s6kQEHFY_0_10.mp3,ok,10.0
-fxh7jAJR8U,70,80,False,data/raw/musiccaps/audio/-fxh7jAJR8U_70_80.mp3,ok,10.0
-hSMzrWZCAE,30,40,True,data/raw/musiccaps/audio/-hSMzrWZCAE_30_40.mp3,ok,10.0
-hYRFCQdbLg,30,40,True,data/raw/musiccaps/audio/-hYRFCQdbLg_30_40.mp3,corrupt,
-i9gpG3vPwA,30,40,True,data/raw/musiccaps/audio/-i9gpG3vPwA_30_40.mp3,corrupt,
-i9uQMysy_A,80,90,True,data/raw/musiccaps/audio/-i9uQMysy_A_80_90.mp3,ok,10.0
-jpbCWcz2pk,30,40,False,data/raw/musiccaps/audio/-jpbCWcz2pk_30_40.mp3,ok,10.0
-kpR93atgd8,30,40,True,,missing,
-lPXTBXa0tE,30,40,True,data/raw/musiccaps/audio/-lPXTBXa0tE_30_40.mp3,corrupt,
-m5ZlWziIeA,200,210,False,data/raw/musiccaps/audio/-m5ZlWziIeA_200_210.mp3,ok,10.0
-m9pH0WXQto,110,120,True,data/raw/musiccaps/audio/-m9pH0WXQto_110_120.mp3,ok,10.0
-mA_bqD1tgU,30,40,False,data/raw/musiccaps/audio/-mA_bqD1tgU_30_40.mp3,ok,10.0
-mB_XLq6g1g,30,40,False,data/raw/musiccaps/audio/-mB_XLq6g1g_30_40.mp3,ok,10.0
-nlkWWphiaM,30,40,True,data/raw/musiccaps/audio/-nlkWWphiaM_30_40.mp3,ok,10.0
-o0ZtQIkM60,30,40,False,data/raw/musiccaps/audio/-o0ZtQIkM60_30_40.mp3,ok,10.0
-oP-XX28B0s,30,40,False,data/raw/musiccaps/audio/-oP-XX28B0s_30_40.mp3,ok,10.0
-pUfYFcsgG4,0,10,True,data/raw/musiccaps/audio/-pUfYFcsgG4_0_10.mp3,ok,9.993
-qcTD2o6I9s,30,40,True,data/raw/musiccaps/audio/-qcTD2o6I9s_30_40.mp3,corrupt,
-r2-9oyIzkQ,30,40,True,data/raw/musiccaps/audio/-r2-9oyIzkQ_30_40.mp3,ok,10.0
-r7iz-9v9bA,30,40,False,data/raw/musiccaps/audio/-r7iz-9v9bA_30_40.mp3,ok,10.0
-rAhS48FkYw,30,40,False,data/raw/musiccaps/audio/-rAhS48FkYw_30_40.mp3,ok,10.0
-sRFfU8k0Zs,90,100,False,data/raw/musiccaps/audio/-sRFfU8k0Zs_90_100.mp3,ok,10.0
-sevczF5etI,30,40,True,,missing,
-tKZOl4q1Kw,20,30,True,data/raw/musiccaps/audio/-tKZOl4q1Kw_20_30.mp3,corrupt,
-taO6N-rxv4,30,40,True,data/raw/musiccaps/audio/-taO6N-rxv4_30_40.mp3,ok,10.0
-tmY1GEH3_Y,30,40,False,data/raw/musiccaps/audio/-tmY1GEH3_Y_30_40.mp3,ok,10.0
-tpq_bzSKes,10,20,True,data/raw/musiccaps/audio/-tpq_bzSKes_10_20.mp3,ok,10.0
-uaTK8sa5Ms,10,20,True,data/raw/musiccaps/audio/-uaTK8sa5Ms_10_20.mp3,ok,10.0
-v5hgCh3M2w,30,40,False,data/raw/musiccaps/audio/-v5hgCh3M2w_30_40.mp3,ok,10.0
-w12aSkQ9No,30,40,True,data/raw/musiccaps/audio/-w12aSkQ9No_30_40.mp3,ok,10.0
-w4HLksto_k,30,40,False,data/raw/musiccaps/audio/-w4HLksto_k_30_40.mp3,ok,10.0
-w8maIWtnUk,30,40,True,data/raw/musiccaps/audio/-w8maIWtnUk_30_40.mp3,ok,10.0
-wVWjl9Kq6U,240,250,False,data/raw/musiccaps/audio/-wVWjl9Kq6U_240_250.mp3,ok,10.0
-wymN80CiYU,130,140,True,data/raw/musiccaps/audio/-wymN80CiYU_130_140.mp3,ok,10.0
-zA6LL78KYU,120,130,False,data/raw/musiccaps/audio/-zA6LL78KYU_120_130.mp3,ok,10.0
-zOybsEdM5E,100,110,False,data/raw/musiccaps/audio/-zOybsEdM5E_100_110.mp3,ok,10.0
0-7PyzhzuYQ,30,40,True,data/raw/musiccaps/audio/0-7PyzhzuYQ_30_40.mp3,ok,10.0
00M9FhCet6s,100,110,False,data/raw/musiccaps/audio/00M9FhCet6s_100_110.mp3,ok,10.0
01PzcPKT3_E,30,40,False,data/raw/musiccaps/audio/01PzcPKT3_E_30_40.mp3,ok,10.0
01hjVJN9xCg,30,40,False,data/raw/musiccaps/audio/01hjVJN9xCg_30_40.mp3,ok,10.0
0298WjE3_tk,20,30,False,data/raw/musiccaps/audio/0298WjE3_tk_20_30.mp3,ok,10.0
02Qntw26enM,90,100,False,data/raw/musiccaps/audio/02Qntw26enM_90_100.mp3,corrupt,
03frQGyrgQ4,30,40,False,,missing,
03z0rpIkm5g,30,40,False,data/raw/musiccaps/audio/03z0rpIkm5g_30_40.mp3,corrupt,
04NjXsLyCl4,30,40,True,data/raw/musiccaps/audio/04NjXsLyCl4_30_40.mp3,ok,10.0
05JAmKFVy44,20,30,True,data/raw/musiccaps/audio/05JAmKFVy44_20_30.mp3,ok,9.740166666666667
05OJDYeHLMc,30,40,False,data/raw/musiccaps/audio/05OJDYeHLMc_30_40.mp3,ok,10.0
06Brdf83RZE,30,40,False,data/raw/musiccaps/audio/06Brdf83RZE_30_40.mp3,ok,10.0
06IU9WsEp3s,130,140,False,data/raw/musiccaps/audio/06IU9WsEp3s_130_140.mp3,ok,10.0
07-3grCQ8EU,30,40,False,data/raw/musiccaps/audio/07-3grCQ8EU_30_40.mp3,ok,10.0
07-vpXo91XM,70,80,False,data/raw/musiccaps/audio/07-vpXo91XM_70_80.mp3,corrupt,
07FxCXxknY4,30,40,True,data/raw/musiccaps/audio/07FxCXxknY4_30_40.mp3,ok,10.0
07mS0mSTDjY,30,40,False,data/raw/musiccaps/audio/07mS0mSTDjY_30_40.mp3,ok,10.0
07xGXxIHOL4,110,120,True,data/raw/musiccaps/audio/07xGXxIHOL4_110_120.mp3,corrupt,
08mf5GxT820,30,40,True,data/raw/musiccaps/audio/08mf5GxT820_30_40.mp3,corrupt,
08u-jdwjM74,300,310,False,data/raw/musiccaps/audio/08u-jdwjM74_300_310.mp3,ok,10.0
09lQmg2wvsY,100,110,True,data/raw/musiccaps/audio/09lQmg2wvsY_100_110.mp3,ok,10.0
0ADP-O_V3vA,30,40,False,data/raw/musiccaps/audio/0ADP-O_V3vA_30_40.mp3,ok,10.0
0AGHo8V8HpM,130,140,False,data/raw/musiccaps/audio/0AGHo8V8HpM_130_140.mp3,corrupt,
0AhX-ReXovI,120,130,False,data/raw/musiccaps/audio/0AhX-ReXovI_120_130.mp3,corrupt,
0BFauf6TGGU,0,10,False,data/raw/musiccaps/audio/0BFauf6TGGU_0_10.mp3,ok,10.0
0DYH0sqDXB8,30,40,False,data/raw/musiccaps/audio/0DYH0sqDXB8_30_40.mp3,corrupt,
0DizopdPMBw,30,40,True,data/raw/musiccaps/audio/0DizopdPMBw_30_40.mp3,ok,10.0
0EOQco76eXQ,30,40,True,data/raw/musiccaps/audio/0EOQco76eXQ_30_40.mp3,corrupt,
0EvpBtracsk,30,40,True,data/raw/musiccaps/audio/0EvpBtracsk_30_40.mp3,ok,10.0
0EzWmAPwoTs,260,270,False,data/raw/musiccaps/audio/0EzWmAPwoTs_260_270.mp3,ok,10.0
0F-Z0zF1504,30,40,True,data/raw/musiccaps/audio/0F-Z0zF1504_30_40.mp3,corrupt,
0Gxn9FtaJFc,30,40,True,data/raw/musiccaps/audio/0Gxn9FtaJFc_30_40.mp3,ok,10.0
0H3FAoDgzhI,30,40,False,data/raw/musiccaps/audio/0H3FAoDgzhI_30_40.mp3,corrupt,
0HXYdGGKV2k,30,40,True,data/raw/musiccaps/audio/0HXYdGGKV2k_30_40.mp3,ok,10.0
0ISHZQJdeSw,30,40,True,data/raw/musiccaps/audio/0ISHZQJdeSw_30_40.mp3,ok,10.0
0J_2K1Gvruk,30,40,False,,missing,
0J_TdiZ3TKA,30,40,True,data/raw/musiccaps/audio/0J_TdiZ3TKA_30_40.mp3,ok,10.0
0JbGxIR8JTk,200,210,True,data/raw/musiccaps/audio/0JbGxIR8JTk_200_210.mp3,ok,10.0
